,Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,P1_fluo_halo_colonies,Plate_one_24h_image,P1_24h_big_blue,P1_24h_med_blue,P1_24h_green,P1_24h_turq,P1_24h_pink,P1_24h_other,Comments_p1_24h,P2_qty_sample,P2_fluo_halo_colonies,Plate_two_24h_image,P2_24h_big_blue,P2_24h_med_blue,P2_24h_green,P2_24h_turq,P2_24h_pink,P2_24h_other,Comments_p2_24h,P3_qty_sample,P3_fluo_halo_colonies,Plate_three_24h_image,P3_24h_big_blue,P3_24h_med_blue,P3_24h_green,P3_24h_turq,P3_24h_pink,P3_24h_other,Comments_p3_24h
49,2017-07-31,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,45,none,0.0,0.0,0.0,0,0.0,0.0,TMTC on UV,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
50,2017-07-31,SVT,easy_gel,3,No comments,22,No comments,37,4.0,1,none,0.0,0.0,0.0,0,0.0,0.0,No count,4,0.0,none,0.0,0.0,0.0,0.0,0.0,,No comments,4.0,1.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No count
51,2017-07-31,VNX,easy_gel,3,No comments,22,No comments,37,4.0,2,none,0.0,0.0,0.0,0,0.0,0.0,No count,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No count,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No count
52,2017-07-31,MRD,easy_gel,3,No comments,22,No comments,37,4.0,1,none,0.0,0.0,0.0,0,0.0,0.0,No count,4,1.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No count,4.0,2.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No count
53,2017-07-31,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,none,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
54,2017-07-03,MRD,levine,1,added oct,22,No comments,37,0.5,0,IMG_7801.jpg,6.0,90.0,0.0,0,0.0,0.0,big blue= metallic green (E coli),,,,,,,,,,,,,,,,,,,,
55,2017-07-03,MRD,unil_kitchen,1,added oct,22,No comments,37,0.5,0,IMG_7800.jpg,0.0,200.0,0.0,0,0.0,0.0,"colony mix, 3 types�",,,,,,,,,,,,,,,,,,,,
56,2017-07-03,SVT,levine,1,added oct,22,No comments,37,0.5,0,IMG_7798. JPG,0.0,3.0,0.0,0,0.0,1.0,"medium blue=purple colonies, coliform (no metallic green)",0.5,0.0,SVT2-22_53_35.JPG,0.0,0.0,0.0,0.0,0.0,1.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
57,2017-07-03,SVT,unil_kitchen,1,added oct,22,No comments,37,0.5,0,IMG_7797.JPG,0.0,200.0,0.0,0,0.0,0.0,"colony mix, pale and yellower",,,,,,,,,,,,,,,,,,,,
58,2017-07-24,Echandens,easy_gel,1,added oct,18,No comments,37,0.5,9,,,,,0,,0.0,"blue smear bottom, guesstimate esp for UV - no count for 24h here�",4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
59,2017-07-10,SVT,micrology_card,1,added oct,24,No comments,37,1.0,0,cardsvt.JPG,0.0,21.0,0.0,0,8.0,0.0,"for cards, blue and pink are not the same as on plates",4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
60,2017-07-10,MRD,micrology_card,1,added oct,24,No comments,37,1.0,0,cardmrd.JPG,0.0,314.0,0.0,0,0.0,0.0,"for cards, blue and pink are not the same as on plates",4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
61,2017-07-10,VNX,micrology_card,1,added oct,24,No comments,37,1.0,0,cardvernex.JPG,0.0,49.0,0.0,0,17.0,0.0,"for cards, blue and pink are not the same as on plates",4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
62,2017-06-26,Echandens,unil_kitchen,1,No comments,18,"moved unil kitchen data here, out of plate 2 slot",37,0.5,0,NAfilter-16_56_5.JPG,0.0,0.0,0.0,0,0.0,0.0,NAVenoge.JPG with TMTC,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
63,2017-06-26,Hackuarium tap,unil_kitchen,1,No comments,18," Plate one non-selective ""UNIL Kitchen""",37,0.5,0,NATAP-16_54_19.JPG,0.0,0.0,0.0,0,0.0,0.0,"Non selective ""UNIL Kitchen""",0.5,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,no comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
