Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,Image_24h_fluo_plate_one,P1_fluo_halo_colonies,P1_fluo_other,Plate_one_24h_image,P1_24h_big_blue,P1_24h_med_blue,P1_24h_green,P1_24h_turq,P1_24h_pink,P1_24h_other,Comments_p1_24h,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,Image_24h_fluo_plate_two,P2_fluo_halo_colonies,P2_fluo_other,Plate_two_24h_image,P2_24h_big_blue,P2_24h_med_blue,P2_24h_green,P2_24h_turq,P2_24h_pink,P2_24h_other,Comments_p2_24h,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,Image_24h_fluo_plate_three,p3_fluo_halo_colonies,p3_fluo_other,Plate_three_24h_image,P3_24h_big_blue,P3_24h_med_blue,P3_24h_green,P3_24h_turq,P3_24h_pink,P3_24h_other,Comments_p3_24h,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h,latitude,longitude,Location_Image
03.07.17,VNX,easy_gel,3,No comments,21,No comments,37,4,Vernex1UV-17_23_38.JPG,13,0,vernex1-17_23_59.JPG,13,5,0,0,1,0,No comments,Vernex1-22_19_10.JPG,13,10,0,0,2,0,No comments,4,Vernex2UV-18_44_9.JPG,8,0,vernex2-18_44_24.JPG,8,2,0,0,0,0,No comments,Vernex2-22_19_18.JPG,8,4,0,0,2,0,No comments,4,Vernex3UV-18_44_36.JPG,11,0,vernex3-18_44_42.JPG,11,5,0,0,3,0,No comments,Vernex3-22_19_26.JPG,12,12,0,1,4,0,No comments,46.444245,6.892891,1499072594094.jpg
03.07.17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4,none,0,0,tapwater24h-18_50_4.JPG,0,0,0,0,0,0,No comments,tapwaterEG-22_56_5.JPG,0,0,0,0,0,0,No comments,4,none,0,0,tapwaterNA-18_51_1.JPG,0,0,0,0,0,0,No comments,TapWaterNA-22_56_23.JPG,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531779,6.59159,none
03.07.17,Hackuarium toilet,easy_gel,1,No comments,18,No comments,37,4,toiletwaterUV-18_58_15.JPG,8,0,ToiletwaterEasy-18_58_53.JPG,8,0,0,0,0,0,No comments,toiletEG-23_6_25.JPG,0,0,0,0,0,0,No comments,4,none,0,0,ToiletNA-18_59_25.JPG,0,0,0,0,0,0,No comments,toiletNA-23_6_39.JPG,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531823,6.591506,none
10.07.17,VNX,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1,vernex1UV-15_27_36.JPG,0,0,VNX1-15_27_49.JPG,0,8,0,0,17,0,No comments,VNX1-15_28_15.JPG,0,5,0,0,17,8,No comments,1,vernex2UV-15_28_50.JPG,0,0,VNX2-15_28_59.JPG,0,0,0,0,14,0,No comments,VNX2-15_29_30.JPG,0,1,1,0,14,1,No comments,1,vernex3UV-15_30_24.JPG,0,0,VNX3-15_30_33.JPG,0,10,0,0,23,,No comments,VNX3-15_31_24.JPG,0,12,0,0,4,25,No comments,46.44040907,6.90029499,1499682420453.jpg
10.07.17,MRD,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1,mrd1UV-15_40_4.JPG,3,0,MRD1-15_40_28.JPG,3,20,0,0,15,0,No comments,MRD1-15_40_55.JPG,9,20,2,0,27,0,No comments,1,mrd2UV-15_41_33.JPG,2,0,MRD2-15_41_42.JPG,2,15,0,0,13,0,No comments,MRD2-15_42_36.JPG,6,16,1,0,38,0,No comments,1,mrd3UV-15_43_13.JPG,2,0,MRD3-15_43_23.JPG,2,7,0,0,15,0,No comments,MRD3-15_43_56.JPG,5,11,0,0,30,0,No comments,46.43163551,6.90890514,1499683035816.jpg
10.07.17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,venogesUV-15_31_58.JPG,7,0,Venoge-15_32_26.JPG,7,10,0,0,20,0,No comments,Venoge-15_49_25.JPG,10,15,0,0,25,6,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.535602,6.552227,none
10.07.17,SVT,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1,svt1UV-15_14_19.JPG,0,0,SVT1-15_14_27.JPG,0,0,0,0,1,0,No comments,SVT1-15_15_3.JPG,0,0,0,0,1,0,No comments,1,svt2UV-15_16_18.JPG,0,0,SVT2-15_16_26.JPG,0,2,0,0,1,0,No comments,SVT2-15_16_58.JPG,0,2,0,0,1,1,No comments,1,svt3UV-15_17_45.JPG,0,0,SVT3-15_18_0.JPG,0,2,0,0,0,0,No comments,SVT3-15_18_21.JPG,0,1,0,0,1,2,No comments,46.43787545,6.90456398,1499681763936.jpg
10.07.17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4,tapwaterUV-15_35_2.JPG,0,0,Cnegatif-15_35_13.JPG,0,0,0,0,0,0,No comments,Cminus-15_48_28.JPG,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531853,6.59157,none
17.07.17,SVT,micrology_card,1,No comments,24,No comments,37,1,none,0,0,SVT1 carte-21_31_8.jpg,0,9,0,0,19,0,No comments,SVT1-21_31_21.jpg,0,9,0,0,25,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43823062,6.90508685,none
17.07.17,VNX,micrology_card,1,No comments,24,No comments,37,1,none,0,0,VNX1 carte-21_26_51.jpg,0,23,0,0,20,0,No comments,VNX1-21_27_8.jpg,0,27,0,0,18,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.444245,6.892891,none
17.07.17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4,TAP-21_1_56.jpg,0,0,TAP-21_2_5.jpg,0,0,0,0,0,0,No comments,Tap-21_2_46.jpg,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531897,6.591477,none
17.07.17,MRD,micrology_card,1,No comments,25,No comments,37,1,none,0,0,MRD1 carte-21_21_54.jpg,0,22,0,0,10,0,No comments,MRD1-21_22_18.jpg,0,27,0,0,14,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43162844,6.90896942,none
17.07.17,VNX,easy_gel,3,No comments,24,No comments,37,4,VNX 1-19_50_36.jpg,0,0,VNX1-19_50_50.jpg,0,0,0,0,0,13,No comments,VNX1-19_51_41.jpg,0,5,0,0,6,7,No comments,4,VNX 2-19_53_58.jpg,0,0,VNX2-19_54_13.jpg,0,0,0,0,0,12,No comments,VNX2-19_54_55.jpg,0,2,0,0,1,14,No comments,4,VNX 3-19_57_18.jpg,0,0,VNX3-19_57_28.jpg,0,1,0,0,0,10,No comments,VNX3-19_59_40.jpg,1,6,0,0,5,16,No comments,46.44061973,6.90054929,1500295749897.jpg
17.07.17,SVT,easy_gel,3,No comments,24,No comments,37,4,SVT1-19_25_55.jpg,0,0,SVT1-19_26_6.jpg,0,0,0,0,0,6,No comments,SVT1-19_26_35.jpg,0,1,0,0,1,4,No comments,4,SVT2-19_29_20.jpg,0,0,SVT2-19_29_59.jpg,0,0,0,0,0,5,No comments,SVT2-19_31_25.jpg,0,0,0,1,0,5,No comments,4,SVT3-19_33_24.jpg,1,0,SVT3-19_33_35.jpg,1,1,0,0,0,4,No comments,SVT3-19_34_55.jpg,1,3,0,0,8,12,No comments,46.43828752,6.90519905,1500296672030.jpg
17.07.17,MRD,easy_gel,3,No comments,25,No comments,37,4,MRD1-18_37_5.jpg,0,0,MRD1-18_37_26.jpg,0,1,0,0,1,31,No comments,MRD1-18_38_11.jpg,0,5,0,0,6,31,No comments,2,MRD2-18_39_2.jpg,0,0,MRD2-18_39_12.jpg,0,0,0,0,0,0,No comments,MRD2-18_39_27.jpg,0,1,0,0,0,0,No comments,2,MRD3-18_40_1.jpg,1,0,MRD3-18_40_10.jpg,,0,0,0,0,0,"TooManyCellsToCount   , maybe due to the fact that it was the sample in a bottle",MRD3-18_41_19.jpg,0,0,0,0,0,0,TMTC,46.43185669,6.90896897,1500297235207.jpg
17.07.17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,Venoge -20_57_1.jpg,0,6,Venoge-20_57_14.jpg,6,14,3,0,7,0,No comments,Venoges-20_57_29.jpg,14,44,3,0,7,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.535602,6.552227,none
24.07.17,Echandens,unil_kitchen,1,No comments,18,No comments,37,0.5,none,0,0,Venoges-13_54_34.JPG,0,0,0,0,0,0,TMTC,Venoges-13_54_57.JPG,0,0,0,0,0,0,TMTC,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.534908,6.552701,none
24.07.17,SVT,micrology_card,2,No comments,19,No comments,37,1,none,0,0,SVT1-22_44_0.JPG,0,10,0,0,2,0,No comments,SVT1-22_44_9.JPG,0,19,0,0,7,0,No comments,1,SVT2-22_44_27.JPG,0,0,none,0,9,0,0,2,0,No comments,SVT2-22_44_41.JPG,0,12,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43820667,6.905156667,none
24.07.17,SVT,unil_kitchen,2,No comments,19,No comments,37,1,none,0,0,SVT1-14_4_7.JPG,0,10,0,0,2,0,No comments,SVT1-14_4_18.JPG,0,19,0,0,7,0,No comments,1,none,0,0,SVT2-14_5_35.JPG,0,9,0,0,2,0,No comments,SVT2-14_5_26.JPG,0,12,0,0,12,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43820667,6.905156667,none
24.07.17,VNX,micrology_card,1,No comments,21,No comments,37,1,none,0,0,VNX1-13_59_0.JPG,0,12,0,0,5,0,No comments,VNX1-13_59_11.JPG,0,28,0,0,25,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.44056,6.900426667,none
24.07.17,SVT,levine,2,No comments,19,No comments,37,0.5,none,0,0,SVT1-22_53_25.JPG,0,0,0,0,0,1,No comments,SVT1-22_53_48.JPG,0,0,0,0,0,2,No comments,0.5,none,0,0,SVT2-22_53_35.JPG,0,0,0,0,0,1,No comments,SVT2-22_53_55.JPG,0,0,0,0,1,1,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43820667,6.905156667,none
24.07.17,Hackuarium tap,unil_kitchen,1,No comments,18,No comments,37,0.5,none,0,0,Tap-13_49_21.JPG,0,0,0,0,0,0,No comments,Tap-13_49_48.JPG,0,0,0,0,0,31,small colonies,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531953,6.591563,none
24.07.17,SVT,easy_gel,3,No comments,19,No comments,37,4,SVT1-13_9_58.JPG,0,0,SVT1-13_10_6.JPG,0,0,0,0,0,0,No comments,SVT1-13_10_25.JPG,0,1,0,0,10,0,No comments,4,SVT2-13_11_3.JPG,1,0,SVT2-13_11_12.JPG,1,0,0,0,0,0,No comments,SVT2-13_11_46.JPG,1,1,0,0,5,4,No comments,4,SVT3-13_12_21.JPG,0,0,SVT3-13_12_29.JPG,0,0,0,0,0,0,No comments,SVT3-13_12_42.JPG,0,7,0,0,0,50,No comments,46.43820667,6.905156667,1500896615570.jpg
24.07.17,SVT,unil_kitchen,2,No comments,19,No comments,37,0.5,SVT1-13_19_6.JPG,0,0,none,0,0,0,0,0,17,No comments,SVT1-13_19_41.JPG,0,0,0,0,0,71,No comments,0.5,none,0,0,SVT2-13_21_8.JPG,0,0,0,0,0,16,No comments,SVT2-13_21_27.JPG,0,0,0,0,0,28,No comments,0,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.43820667,6.905156667,none
24.07.17,VNX,easy_gel,3,No comments,21,No comments,37,4,VNX1-12_47_25.JPG,0,0,VNX1-12_47_34.JPG,0,0,0,0,0,0,No comments,VNX1-12_47_56.JPG,0,2,0,0,4,9,No comments,4,VNX2-12_48_48.JPG,0,0,VNX2-12_48_56.JPG,0,0,0,0,0,0,No comments,VNX2-12_49_12.JPG,0,1,0,0,3,12,No comments,4,VNX3-12_49_53.JPG,0,0,VNX3-12_50_1.JPG,0,2,0,0,0,0,No comments,VNX3-12_50_23.JPG,0,3,0,0,10,15,No comments,46.44056,6.900426667,1500894875212.jpg
